setup_key,symbol,contract_id,direction,breakout_time_utc,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
30000005:roll:HOUR_4:1779926400000:down,XAUUSDC,30000005,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T09:45:00+00:00,4389.6,4418.55535776091,4319.4276788804555,2.4234658642097484,False,2026-05-28T13:00:00+00:00,SL,-1.0,0.0,4399.7,8.845835654258037,37.71071552182055
30000014:roll:HOUR_4:1779926400000:down,MSTRUSDC,30000014,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T19:15:00+00:00,150.77,153.347300965291,145.04865048264548,2.2198996525454535,False,2026-05-29T15:00:00+00:00,SL,-1.0,0.0,151.81,1.1110170689992367,3.074601930581967
30000002:roll:HOUR_4:1779926400000:down,ETHUSDC,30000002,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T20:00:00+00:00,2011.63,2028.6382783588676,1965.8791391794337,2.6899172188532265,False,2026-05-29T15:45:00+00:00,SL,-1.0,0.0,2012.4,7.462617445974532,32.47655671773498
30000024:roll:HOUR_4:1780056000000:up,AVGOUSDC,30000024,LONG,2026-05-29T12:00:00+00:00,2026-05-29T18:15:00+00:00,435.32,432.11601050579634,446.3930052528982,3.4560054809575425,True,2026-05-29T20:00:00+00:00,TP1_TP2_SAME_CANDLE,2.7280027404787712,0.0,435.07,2.087627543800734,5.9079789884073
30000022:roll:HOUR_4:1780056000000:down,GOOGLUSDC,30000022,SHORT,2026-05-29T12:00:00+00:00,2026-05-30T09:30:00+00:00,382.65,384.14428139556276,379.2221406977814,2.293985130509877,False,2026-06-01T08:15:00+00:00,TP,2.293985130509877,0.0,382.7,0.36873257260050324,2.888562791125572
30000030:roll:HOUR_4:1780257600000:up,PLTRUSDC,30000030,LONG,2026-05-31T20:00:00+00:00,2026-06-01T01:30:00+00:00,160.78,159.360362163833,164.97018108191648,2.9515845345668623,False,2026-06-01T08:15:00+00:00,SL,-1.0,0.0,160.44,1.3662426786769026,2.1592756723339965
30000037:roll:HOUR_4:1780200000000:up,ORCLUSDC,30000037,LONG,2026-05-31T04:00:00+00:00,2026-06-01T04:15:00+00:00,233.14,230.53983595450464,238.63491797725231,2.113296654021501,False,2026-06-01T08:45:00+00:00,SL,-1.0,0.0,232.23,1.295718673410095,3.3803280909906777
30000027:roll:HOUR_4:1780200000000:up,HOODUSDC,30000027,LONG,2026-05-31T04:00:00+00:00,2026-06-01T06:00:00+00:00,95.44,94.65289788558339,97.49144894279169,2.606331383459942,False,2026-06-01T07:45:00+00:00,SL,-1.0,0.0,95.39,0.3463665152334537,1.4742042288332349
30000032:roll:HOUR_4:1780300800000:down,INTCUSDC,30000032,SHORT,2026-06-01T08:00:00+00:00,2026-06-01T15:15:00+00:00,111.05,113.00154658691312,106.83077329345656,2.1619912816005256,False,2026-06-01T15:45:00+00:00,SL,-1.0,0.0,111.7,1.5528664227596443,2.6030931738262333
30000038:roll:HOUR_4:1780315200000:up,TSMUSDC,30000038,LONG,2026-06-01T12:00:00+00:00,2026-06-02T03:45:00+00:00,431.32,427.5933851962892,447.67169259814466,4.387813997267015,True,2026-06-02T16:00:00+00:00,TP1_THEN_TP2,3.1939069986335076,0.0,430.59,1.4767624089529685,5.993229607421499
