setup_key,symbol,contract_id,direction,breakout_time_utc,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
30000001:roll:HOUR_4:1779480000000:down,BTCUSDC,30000001,SHORT,2026-05-22T20:00:00+00:00,2026-05-23T04:00:00+00:00,75537.1,75630.68152161452,75296.55840388233,2.5703962915727256,False,2026-05-23T07:00:00+00:00,TP,2.5703962915727256,0.0,75550.0,133.36304322903942,723.8336155293027
30000001:roll:HOUR_4:1779508800000:down,BTCUSDC,30000001,SHORT,2026-05-23T04:00:00+00:00,2026-05-23T14:15:00+00:00,75110.8,75231.10324729714,74356.71362375568,6.268212980002011,True,2026-05-23T14:30:00+00:00,SL,-1.0,0.0,75115.6,139.40649459428704,754.4544950227146
30000006:roll:HOUR_4:1779868800000:down,XAGUSDC,30000006,SHORT,2026-05-27T08:00:00+00:00,2026-05-28T00:00:00+00:00,74.45,74.75834365335625,73.78634508709247,2.1523222731644007,False,2026-05-28T01:00:00+00:00,SL,-1.0,0.0,74.68,0.15668730671249792,1.065380348369916
30000006:roll:HOUR_4:1779926400000:down,XAGUSDC,30000006,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T08:30:00+00:00,73.36,73.73101074413601,72.10461642713585,3.3836852239619106,True,2026-05-28T13:00:00+00:00,SL,-1.0,0.0,73.52,0.28202148827202916,1.218465708543448
30000005:roll:HOUR_4:1779926400000:down,XAUUSDC,30000005,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T09:45:00+00:00,4389.6,4404.122917827129,4319.4276788804555,4.831833516847775,True,2026-05-28T13:00:00+00:00,SL,-1.0,0.0,4399.7,8.845835654258037,37.71071552182055
30000021:roll:HOUR_4:1779969600000:up,AMDUSDC,30000021,LONG,2026-05-28T12:00:00+00:00,2026-05-28T18:15:00+00:00,517.53,514.7985457090783,523.3865122635684,2.144100409453436,False,2026-05-29T05:45:00+00:00,TP,2.144100409453436,0.0,516.64,3.6829085818432654,11.97395094572634
30000014:roll:HOUR_4:1779926400000:down,MSTRUSDC,30000014,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T19:45:00+00:00,151.71,153.2750401352629,145.04865048264548,4.256344209495631,True,2026-05-29T06:30:00+00:00,SL,-1.0,0.0,151.81,1.0900802705258241,3.074601930581967
30000002:roll:HOUR_4:1779926400000:down,ETHUSDC,30000002,SHORT,2026-05-28T00:00:00+00:00,2026-05-28T20:00:00+00:00,2011.63,2030.7413087229872,1965.8791391794337,2.393915638311949,False,2026-05-29T15:45:00+00:00,SL,-1.0,0.0,2012.4,7.462617445974532,32.47655671773498
30000003:roll:HOUR_4:1779926400000:down,SOLUSDC,30000003,SHORT,2026-05-28T00:00:00+00:00,2026-05-29T02:30:00+00:00,81.74,82.37910654238027,80.2158874652072,2.3847550192749045,False,2026-05-29T09:30:00+00:00,SL,-1.0,0.0,81.94,0.25821308476054006,1.3835498608287968
30000024:roll:HOUR_4:1780056000000:up,AVGOUSDC,30000024,LONG,2026-05-29T12:00:00+00:00,2026-05-29T18:15:00+00:00,435.32,432.8961862280996,446.3930052528982,4.568422451126069,True,2026-05-29T20:00:00+00:00,TP1_TP2_SAME_CANDLE,3.2842112255630345,0.0,435.07,2.087627543800734,5.9079789884073
30000032:roll:HOUR_4:1780070400000:down,INTCUSDC,30000032,SHORT,2026-05-29T16:00:00+00:00,2026-05-29T21:30:00+00:00,116.04,116.64451952010862,114.53926950247472,2.4825178469930225,False,2026-05-30T00:15:00+00:00,TP,2.4825178469930225,0.0,116.21,0.869039040217239,3.117078009898898
