symbol,contract_id,direction,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
UNIUSDC,30000056,LONG,2026-08-24T02:15:00+00:00,4.448,4.353184813240208,4.6456026428914265,2.084082198688687,False,2026-08-24T08:30:00+00:00,SL,-1.0,0.0,4.447,0.043630373519584084,0.18558942843429582
UNIUSDC,30000056,LONG,2026-08-24T04:15:00+00:00,4.451,4.388057864119311,4.646113168399181,3.0998815923411502,True,2026-08-24T07:45:00+00:00,SL,-1.0,0.0,4.447,0.03988427176137936,0.1835473264032747
NAVERUSDC,30000145,LONG,2026-08-24T05:15:00+00:00,162.55,161.06624476871474,167.90346399321646,3.608050627446903,True,2026-08-24T23:45:00+00:00,SL,-1.0,0.0,162.15,0.9875104625705006,2.226144027134219
UNIUSDC,30000056,LONG,2026-08-24T05:45:00+00:00,4.482,4.425362913272667,4.646113168399181,2.89762729480187,False,2026-08-24T06:45:00+00:00,SL,-1.0,0.0,4.447,0.041274173454664734,0.1835473264032747
ENAUSDC,30000058,LONG,2026-08-24T06:00:00+00:00,0.1678,0.1642242864076327,0.18015083223312603,3.454088789295105,True,2026-08-24T06:45:00+00:00,SL,-1.0,0.0,0.1658,0.0025514271847346137,0.010596671067495846
UNIUSDC,30000056,LONG,2026-08-24T06:00:00+00:00,4.486,4.4258374953767605,4.646113168399181,2.661344792772042,False,2026-08-24T06:45:00+00:00,SL,-1.0,0.0,4.447,0.04032500924647768,0.1835473264032747
ENAUSDC,30000058,LONG,2026-08-24T06:15:00+00:00,0.1684,0.16425817892702171,0.18015083223312603,2.83711730325335,False,2026-08-24T06:45:00+00:00,SL,-1.0,0.0,0.1658,0.0024836421459565683,0.010596671067495846
UNIUSDC,30000056,LONG,2026-08-24T06:15:00+00:00,4.492,4.425492300517187,4.646113168399181,2.3172229621174667,False,2026-08-24T06:45:00+00:00,SL,-1.0,0.0,4.447,0.04101539896562435,0.1835473264032747
PENDLEUSDC,30000074,LONG,2026-08-24T07:00:00+00:00,1.7801,1.7586044341813118,1.9587626638898723,8.311605537479902,True,2026-08-24T17:30:00+00:00,TP1_THEN_SL,0.5,0.0,1.7679,0.018591131637376152,0.08134934444051076
PENDLEUSDC,30000074,LONG,2026-08-24T07:15:00+00:00,1.7878,1.7586322335888036,1.9587626638898723,5.86135604213581,True,2026-08-24T17:30:00+00:00,SL,-1.0,0.0,1.7679,0.01853553282239273,0.08134934444051076
UNIUSDC,30000056,LONG,2026-08-24T07:15:00+00:00,4.453,4.371456079170437,4.646113168399181,2.368210486258201,False,2026-08-24T07:45:00+00:00,SL,-1.0,0.0,4.447,0.04308784165912556,0.1835473264032747
NAVERUSDC,30000145,LONG,2026-08-24T07:45:00+00:00,162.22,161.7085531188005,167.90346399321646,11.11252058060644,True,2026-08-24T23:30:00+00:00,TP1_THEN_SL,0.5,0.0,162.15,0.6828937623990051,2.226144027134219
NAVERUSDC,30000145,LONG,2026-08-24T08:00:00+00:00,162.3,161.68150679982512,167.905537993701,9.063216850429164,True,2026-08-24T23:30:00+00:00,TP1_THEN_SL,0.5,0.0,162.15,0.6569864003497475,2.2178480251960595
PENDLEUSDC,30000074,LONG,2026-08-24T08:00:00+00:00,1.7856,1.7593649740234099,1.9587224736120243,6.598906125212271,True,2026-08-24T17:30:00+00:00,TP1_THEN_SL,0.5,0.0,1.7679,0.01707005195318055,0.08151010555190286
NAVERUSDC,30000145,LONG,2026-08-24T08:45:00+00:00,162.34,161.64092093353858,167.905537993701,7.9612425270755995,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.598158132922844,2.2178480251960595
PENDLEUSDC,30000074,LONG,2026-08-24T08:45:00+00:00,1.7937,1.7597489666627795,1.9587224736120243,4.860602384997505,True,2026-08-24T17:30:00+00:00,SL,-1.0,0.0,1.7679,0.01630206667444092,0.08151010555190286
NAVERUSDC,30000145,LONG,2026-08-24T09:00:00+00:00,162.7,161.64230093940444,167.905537993701,4.921568135618789,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.5953981211911469,2.2178480251960595
LITUSDC,30000042,LONG,2026-08-24T09:15:00+00:00,3.4519,3.3784250227485564,3.7243226745768956,3.707693214311845,True,2026-08-24T10:30:00+00:00,SL,-1.0,0.0,3.4145,0.061949954502887226,0.20230930169241865
NAVERUSDC,30000145,LONG,2026-08-24T09:15:00+00:00,162.71,161.65749562124964,167.905537993701,4.9363576043926765,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.5650087575007191,2.2178480251960595
PENDLEUSDC,30000074,LONG,2026-08-24T09:15:00+00:00,1.8067,1.759665755960978,1.9587224736120243,3.232165770239639,True,2026-08-24T17:30:00+00:00,SL,-1.0,0.0,1.7679,0.0164684880780438,0.08151010555190286
LITUSDC,30000042,LONG,2026-08-24T09:30:00+00:00,3.4894,3.3784622392450614,3.7243226745768956,2.1176078638890146,False,2026-08-24T10:30:00+00:00,SL,-1.0,0.0,3.4145,0.06187552150987736,0.20230930169241865
LITUSDC,30000042,LONG,2026-08-24T10:15:00+00:00,3.4461,3.3765721511536904,3.7243226745768956,4.001600498124188,True,2026-08-24T10:30:00+00:00,SL,-1.0,0.0,3.4145,0.05985569769261891,0.20230930169241865
NAVERUSDC,30000145,LONG,2026-08-24T10:30:00+00:00,162.63,161.7037715827582,167.905537993701,5.695720294796178,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.532456834483594,2.2178480251960595
NAVERUSDC,30000145,LONG,2026-08-24T10:45:00+00:00,162.89,161.71171981188877,167.905537993701,4.256659871147381,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.5165603762224666,2.2178480251960595
LITUSDC,30000042,LONG,2026-08-24T11:00:00+00:00,3.4237,3.3468471810684712,3.7243226745768956,3.9116675062333286,True,2026-08-24T16:00:00+00:00,SL,-1.0,0.0,3.4145,0.057305637863057764,0.20230930169241865
LITUSDC,30000042,LONG,2026-08-24T11:15:00+00:00,3.4659,3.346509976232819,3.7243226745768956,2.1645248608111394,False,2026-08-24T16:00:00+00:00,SL,-1.0,0.0,3.4145,0.057980047534362165,0.20230930169241865
NAVERUSDC,30000145,LONG,2026-08-24T11:15:00+00:00,162.89,161.7556226079154,167.905537993701,4.42140158001933,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.48875478416920076,2.2178480251960595
